URL,PR,PAGE AUTH,DOMAIN AUTH,MOZRANK,EXT LINKS,Category
communitymatters.org.uk,5,61.52,53.62,5.9,4816,Eric-Health
smallbusiness.co.uk,5,61.36,53.57,6.04,1952,Eric-Health
jointokyo.org,5,61.27,63.72,5.35,180,Eric-Health
bstartup.com,5,61.26,53.32,5.78,3471,Eric-Health
planningresource.co.uk,5,61.19,53.59,5.91,28609,Eric-Health
harpers.co.uk,5,60.77,52.74,6.02,10551,Eric-Health
760kfmb.com,5,60.64,52.6,5.35,1251,Eric-Health
defencetalk.com,5,60.42,52.37,5.63,6043,Eric-Health
tutor2u.net,5,60.4,52.69,5.74,1128,Eric-Health
eventmagazine.co.uk,5,59.67,51.65,5.48,4121,Eric-Health
fifetoday.co.uk,5,59.4,51.11,5.3,4866,Eric-Health
ksbdc.org,5,59.3,53.4,5.4,1443,Eric-Health
prime.org.uk,5,58.97,51.57,6.04,2330,Eric-Health
smallbusinessnotes.com,5,58.92,50.61,5.7,266,Eric-Health
beginningfarmers.org,5,58.62,51.72,5.43,4107,Eric-Health
socialenterpriselive.com,5,58.28,49.81,5.39,1813,Eric-Health
businesswest.co.uk,5,57.47,48.82,6.05,3400,Eric-Health
advancedcomputersoftware.com,5,57.43,54.27,5.8,1439,Eric-Health
framingham.patch.com,5,57.31,85.21,4.67,46,Eric-Health
gaapweb.com,5,57.11,48.39,5.61,5247,Eric-Health
ibank.com,5,56.69,47.9,6.2,1136,Eric-Health
london.kijiji.ca,5,56.35,74.53,4.71,139,Eric-Health
larsonallen.com,5,56.35,47.47,5.44,2107,Eric-Health
business-law.lawyers.com,5,56.3,86.87,4.45,181,Eric-Health
ontario.kijiji.ca,5,56.19,74.53,5.34,85,Eric-Health
directory.stclassifieds.sg,5,55.65,49.2,5.51,8696,Eric-Health
businomics.typepad.com,5,55.57,93.69,4.99,3713,Eric-Health
mutuals.cabinetoffice.gov.uk,5,55.52,98.33,4.72,211,Eric-Health
richmondfellowship.org.uk,5,55.27,46.2,5.75,881,Eric-Health
news.cfa.vic.gov.au,5,55.07,73.24,5.89,143,Eric-Health
toplanguagejobs.co.uk,5,53.98,44.7,5.19,4347,Eric-Health
socialfirmsuk.co.uk,5,53.7,45.14,5.85,4490,Eric-Health
youngconaway.com,5,53.33,44.18,6.61,6078,Eric-Health
newventuresbc.com,5,51.67,42.14,5.33,895,Eric-Health
teachamantofish.org.uk,5,50.12,40.2,5.91,636,Eric-Health
ignitehospitality.com,5,49.94,39.88,6.26,22778,Eric-Health
cue.org.uk,5,49.85,39.76,4.99,267,Eric-Health
companypartners.com,5,48.49,38.3,5.32,330,Eric-Health
bizplans.com,5,47.87,37.38,4.82,84,Eric-Health
seaplan.org,5,47.81,37.38,4.91,1100,Eric-Health
shermanhoward.com,5,46.63,37.27,6.12,411,Eric-Health
northamptonshireep.co.uk,5,46.46,35.73,5.69,2260,Eric-Health
transparency.dh.gov.uk,5,44.83,98.33,3.67,14,Eric-Health
insidechips.com,5,42.51,31.15,5.26,155,Eric-Health
jobs.mitula.in,5,40.18,35.26,5.65,48,Eric-Health
casestudies.law.harvard.edu,5,38.62,94.47,4.27,4,Eric-Health
samplesofbusinessplans.net,5,36.58,23.95,4.63,998,Eric-Health
bonewells.co.uk,5,32.48,19.16,4.49,26,Eric-Health
businessplanuk.co.uk,5,30.91,17.35,4.16,12,Eric-Health
community.lnwprogram.org,5,22.46,34.81,0,0,Eric-Health
pcg.org.uk,4,65.84,58.99,6.25,13470,Eric-Health
lisisoft.com,4,63.87,58.19,5.87,29996,Eric-Health
ukbusinessforums.co.uk,4,63.82,56.88,6.01,7105,Eric-Health
growthink.com,4,62.72,55.31,5.61,2008,Eric-Health
wtnnews.com,4,62.58,54.89,5.76,1011,Eric-Health
whbf.com,4,60.11,51.96,5.37,1338,Eric-Health
blurgroup.com,4,58.82,51.1,6.61,421,Eric-Health
startupdonut.co.uk,4,58.39,49.96,7.43,1886,Eric-Health
marketingdonut.co.uk,4,58.05,49.65,7.44,1095,Eric-Health
dbh.nhs.uk,4,57.59,94.08,5.09,421,Eric-Health
rightbrainbusinessplan.com,4,56.25,47.5,5.05,1622,Eric-Health
jian.com,4,56.19,47.34,5.1,273,Eric-Health
website101.com,4,55.85,48.23,5.33,605,Eric-Health
sme-blog.com,4,55.04,50.35,5.87,3787,Eric-Health
kinaxis.com,4,54.79,48,5.67,5325,Eric-Health
uk.rapp.com,4,54.75,54.1,5.44,123,Eric-Health
biztree.com,4,54.15,45.55,5.79,1478,Eric-Health
ukrecruiter.co.uk,4,54.12,48.46,5.74,3382,Eric-Health
moorestephens.co.uk,4,53.67,46.63,5.92,873,Eric-Health
towns.org.uk,4,53.56,46.08,5.61,3414,Eric-Health
businessplanpro.com,4,53.45,44.18,5.19,189,Eric-Health
blog.intuit.co.uk,4,52.77,61.93,5.71,59,Eric-Health
bmmagazine.co.uk,4,52.34,43.16,6.18,266,Eric-Health
freelancer.co.uk,4,51.59,42.97,4.98,792,Eric-Health
planmagic.com,4,51.18,42.42,5.84,934,Eric-Health
ukawp.com,4,51.1,43.22,5.78,2768,Eric-Health
erp.technologyevaluation.com,4,50.78,58.72,4.76,232,Eric-Health
is4profit.com,4,50.33,40.4,6.03,242,Eric-Health
thestartupgarage.com,4,49.57,43.1,5.23,1940,Eric-Health
enloop.com,4,49.54,40.28,4.91,367,Eric-Health
businessgrowthhub.com,4,49.45,39.4,6.19,15571,Eric-Health
eventindustrynews.co.uk,4,49.28,40.11,5.4,1510,Eric-Health
westsussextoday.co.uk,4,49.27,39.78,5.08,1528,Eric-Health
caycon.com,4,49.23,40.74,5.66,110,Eric-Health
creativeskills.org.uk,4,49.22,38.99,5.99,4084,Eric-Health
cpresumes.com,4,48.84,38.63,5.18,560,Eric-Health
nwes.org.uk,4,48.61,38.26,5.53,791,Eric-Health
solo-e.com,4,48.38,44.02,5.31,1073,Eric-Health
lbmc.com,4,48.35,38.09,5.27,890,Eric-Health
familyofficesgroup.com,4,48.07,37.77,5.13,1649,Eric-Health
brightonandhovejobs.com,4,47.66,39.49,5.47,3200,Eric-Health
bizplan.com,4,47.62,37.56,6.17,12780,Eric-Health
opp.com,4,47.52,38.36,5.72,3642,Eric-Health
businessblogshub.com,4,47.1,39.3,5.69,67,Eric-Health
hwfisher.co.uk,4,47.01,36.38,5.2,263,Eric-Health
cshco.com,4,46.81,36.51,6,442,Eric-Health
nbsl.org.uk,4,46.45,37.91,5.25,113,Eric-Health
jobhits.co.uk,4,46.28,38.92,5.33,2256,Eric-Health
armstrongwatson.co.uk,4,45.88,35.03,5.71,679,Eric-Health
hpcharity.co.uk,4,45.25,34.85,5.15,263,Eric-Health
deborahmeaden.com,4,44.25,33.81,4.78,272,Eric-Health
amquix.info,4,43.82,33.78,4.82,94,Eric-Health
londonrebuilding.com,4,42.67,31.37,4.91,200,Eric-Health
cultureworksphila.org,4,42.62,35.29,4.89,244,Eric-Health
planasyougo.com,4,42.32,30.83,4.61,83,Eric-Health
riverlogic.com,4,42.11,30.78,5.08,127,Eric-Health
masterplans.com,4,42.07,31.51,4.3,116,Eric-Health
uk.skillpages.com,4,41.53,55.14,4.65,8,Eric-Health
firstpracticemanagement.co.uk,4,41.52,30.75,5.15,602,Eric-Health
business.stark-stark.com,4,41.49,49.9,5.93,1,Eric-Health
aurorasbdc.com,4,41.04,34.49,5.08,43,Eric-Health
h20195.www2.hp.com,4,40.98,95.45,1.69,2,Eric-Health
thamesinnovationcentre.com,4,40.24,28.3,5.06,94,Eric-Health
thebusinessadvicewebsite.co.uk,4,39.38,27.28,5.01,367,Eric-Health
articles.bplans.co.uk,4,38.47,46.5,5.37,1,Eric-Health
concerto.co.uk,4,38.35,30.76,5.05,5382,Eric-Health
powerstationdallas.com,4,38.28,27.72,3.56,170,Eric-Health
casemoreandco.com,4,37.49,27.53,4.92,275,Eric-Health
ladyluckmedia.co.uk,4,37.13,34.45,5.24,368,Eric-Health
charity-fundraising.org.uk,4,35.45,23.03,5.69,38,Eric-Health
rruka.org.uk,4,35.26,28.67,4.67,29,Eric-Health
businessplans.com.au,4,35.11,23.23,5.63,56,Eric-Health
blueprintcompetition.co.uk,4,34.33,24.65,4.95,221,Eric-Health
businessplanpro.co.uk,4,32.86,20.68,4.39,11,Eric-Health
wyliebisset.com,4,31.95,19.47,4.63,27,Eric-Health
solentcreatives.co.uk,4,30.15,18.48,4.14,50,Eric-Health
juris24.lt,4,27.13,20.82,3.95,99,Eric-Health
thingamy.typepad.com,3,56.85,93.69,4.66,4276,Eric-Health
jobsearch.naukri.com,3,54.66,69.46,3.74,72,Eric-Health
businesscoaching.typepad.com,3,52.59,93.69,4.31,164,Eric-Health
2-small-business.com,3,50.43,40.45,5.54,382,Eric-Health
abs-usa.com,3,49.65,39.98,6.04,1069,Eric-Health
greenekingpubs.co.uk,3,49.26,39.37,5.63,2272,Eric-Health
manchestercommunitycentral.org,3,46.37,35.86,5.71,2449,Eric-Health
blog.ventanaresearch.com,3,45.68,53.07,5.28,4,Eric-Health
deluxesmallbizblog.com,3,44.76,39.73,4.96,553,Eric-Health
ebusinessplan.com,3,44.51,33.42,5.17,226,Eric-Health
nbv.co.uk,3,44.48,33.47,4.98,354,Eric-Health
ask.emoneyadvisor.com,3,44.15,44.22,4.52,115,Eric-Health
thesewingdirectory.co.uk,3,43.76,32.71,4.9,643,Eric-Health
padgettbusinessservices.com,3,43.72,32.73,5.42,786,Eric-Health
chaucer.com,3,43.57,34.55,5.26,116,Eric-Health
wisteria.co.uk,3,42.78,31.78,5.27,1368,Eric-Health
cammsgroup.com,3,42.69,33.62,4.94,92,Eric-Health
witzkeberry.com,3,41.92,30.55,4.91,333,Eric-Health
businessplanfunding.com,3,41.87,31.36,5.47,329,Eric-Health
mumsbusinessdirectory.com,3,41.16,31.23,4.95,201,Eric-Health
sheremarketing.co.uk,3,40.91,30.41,5.92,632,Eric-Health
businessplan.financial-projections.com,3,40.85,33.51,5.46,126,Eric-Health
goringeaccountants.co.uk,3,40.73,33.1,4.68,93,Eric-Health
oliverwight-eame.com,3,40.68,31.41,5.29,854,Eric-Health
newbizs.com,3,40.61,31.14,5.02,102,Eric-Health
mfw.co.uk,3,40.52,32,5.35,1160,Eric-Health
mckinleyplowman.com.au,3,39.86,28.11,5.94,70,Eric-Health
communityactionderby.org.uk,3,39.75,27.91,5.06,373,Eric-Health
supercfo.com,3,39.58,31.67,5.3,167,Eric-Health
grossberg.com,3,39.5,32.78,6.14,1218,Eric-Health
fdsolutions.uk.com,3,39.45,32.19,5.44,147,Eric-Health
planguru.com,3,38.92,27.78,4.99,160,Eric-Health
cornetser.com,3,38.91,31.11,5.42,98,Eric-Health
weddingplanningschooluk.com,3,38.57,29.25,4.73,138,Eric-Health
ssc-spc.gc.ca,3,38.42,43.49,5.02,15,Eric-Health
fashion-angel.co.uk,3,38.13,26.39,4.38,54,Eric-Health
happycry.co.uk,3,37.9,26.17,4.78,308,Eric-Health
louiseharnbyproofreader.com,3,37.8,32.71,4.49,132,Eric-Health
twdaccounts.co.uk,3,37.7,39.49,4.51,36,Eric-Health
planninglawblog.blogspot.com,3,37.33,93.08,4.17,86,Eric-Health
smallfish.com.au,3,37.21,26.1,5.38,672,Eric-Health
womenties.wordpress.com,3,37.01,100,4.4,99,Eric-Health
ignitecornwall.com,3,36.98,25.69,5.25,149,Eric-Health
w-l-p.co.uk,3,36.88,28.59,4.95,121,Eric-Health
thejoyofbusiness.co.uk,3,36.24,25.02,4.54,146,Eric-Health
inspire2aspire.co.uk,3,36.03,28.83,4.23,38,Eric-Health
woods-squared.co.uk,3,35.76,23,4.88,77,Eric-Health
jonathanlea.net,3,35.54,24.48,4.7,1050,Eric-Health
bekhor.ca,3,35.2,24.11,4.85,73,Eric-Health
wantwords.co.uk,3,35.15,38.5,3.76,43,Eric-Health
mas.org.uk,3,35.06,24.27,4.5,25,Eric-Health
wickenslaw.com,3,34.74,23.42,5.15,63,Eric-Health
primeaccountants.co.uk,3,34.69,23.86,5.21,268,Eric-Health
pcmadvisors.com,3,34.52,23.27,4.52,163,Eric-Health
bluedotconsulting.co.uk,3,34.17,23.5,4.47,34,Eric-Health
plummer-parsons.co.uk,3,34.15,21.66,4.66,31,Eric-Health
plymouthcitymarket.co.uk,3,33.05,27.29,4.1,41,Eric-Health
mihconsultancy.co.uk,3,32.84,20.69,4.39,26,Eric-Health
businesschanging.com,3,32.65,20.74,4.08,45,Eric-Health
adheretraining.co.uk,3,31.84,23.63,4.72,41,Eric-Health
mhbec.com.au,3,31.43,19.99,4.58,13,Eric-Health
innovationforgrowth.co.uk,3,30.75,21.86,3.62,10,Eric-Health
digitalsparkmarketing.com,3,28.77,26.92,4.47,10,Eric-Health
wilsonhenry.co.uk,3,28.14,16.02,4.46,9,Eric-Health
ramsaycpa.com,3,27.2,17.86,4.23,77,Eric-Health
starterbizplan.com,3,26.73,13.6,3.57,28,Eric-Health
cowdenconsulting.com,3,25.42,12.1,3.28,3,Eric-Health
tllaccountants.com,3,24.86,10.36,2.87,4,Eric-Health
derbytelegraph.co.uk,2,60.24,52.88,5.1,287,Eric-Health
storeboard.com,2,54.85,47.37,5.07,1249,Eric-Health
absoluteperfection.co.uk,2,43.09,31.99,5.07,120,Eric-Health
grantaid.com,2,42.26,42.27,5.51,22,Eric-Health
strategyconsultinglimited.co.uk,2,41,29.94,4.99,93,Eric-Health
bizplanprep.com,2,40.78,29.32,5.3,162,Eric-Health
businessplanmaster.com,2,40.06,32.32,4.82,75,Eric-Health
businessplanning-4-you.com,2,39.95,32.28,4.75,76,Eric-Health
pro-actions.com,2,39.76,28.88,4.97,49,Eric-Health
customwritingservices.org,2,39.73,34.47,5.18,15,Eric-Health
businessplanninghq.com,2,39.04,27.21,5.69,116,Eric-Health
peggymurrah.com,2,38.06,27.62,4.75,723,Eric-Health
ukbusinesslabs.co.uk,2,37.13,34.25,4.62,213,Eric-Health
businessplanningmadeeasy.com,2,37.06,25.4,4.47,59,Eric-Health
bellisjoneshill.co.uk,2,36.85,24.95,5.35,88,Eric-Health
more-for-small-business.com,2,36.58,26.9,5.61,28,Eric-Health
elearningstore.northstarnetwork.org,2,35.8,28.68,5.09,346,Eric-Health
onevisionhealth.co.uk,2,35.51,23.76,5.85,371,Eric-Health
harrisaccountancy.co.uk,2,35.5,22.73,4.12,124,Eric-Health
sabusinessplans.co.za,2,34.21,25.51,3.86,69,Eric-Health
bonaccordaccountancy.co.uk,2,34,21.34,4.7,72,Eric-Health
howladerandco.com,2,33.96,23.37,4.67,24,Eric-Health
blog.thecompanywarehouse.co.uk,2,33.65,38.5,5.07,2,Eric-Health
financialadvisercoach.com,2,33.53,24.41,4.41,271,Eric-Health
bplanexperts.com,2,33.3,24.48,4.79,209,Eric-Health
planbconsulting.co.uk,2,32.93,22.96,4.83,107,Eric-Health
ovationfinance.co.uk,2,32.78,19.57,4.68,24,Eric-Health
outsauce.net,2,32.66,25.91,5.81,23,Eric-Health
business-networking.co.uk,2,32.64,24.77,4.75,82,Eric-Health
wisebusinessplans.com,2,32.33,32.52,4.91,1,Eric-Health
jamesanduzzell.com,2,32.08,19.57,4.63,1992,Eric-Health
saulfairholm.co.uk,2,31.49,18.06,3.84,50,Eric-Health
dicksonmiddleton.co.uk,2,31.23,17.68,3.96,17,Eric-Health
businessplanwriter.co.uk,2,31.2,18.94,4.97,22,Eric-Health
investblue.com.au,2,30.99,25.01,5.08,130,Eric-Health
theindiansubcontinent.com,2,30.98,27.81,5.02,12,Eric-Health
miaduk.com,2,30.94,22.19,5.65,108,Eric-Health
pii-ltd.co.uk,2,30.81,17.22,4.61,25,Eric-Health
geraldedelman.com,2,30.74,18.53,4.45,9,Eric-Health
finance.zibb.co.uk,2,30.66,35.97,4.4,0,Eric-Health
spahnlawfirm.com,2,29.91,18.16,3.96,99,Eric-Health
law.wne.libguides.com,2,29.57,55.53,3.4,0,Eric-Health
resultsresults.co.uk,2,29.52,16.75,4.95,26,Eric-Health
vipbusinessplans.com,2,29.5,16.06,3.84,15,Eric-Health
teami.co.uk,2,28.75,16.9,4.87,111,Eric-Health
businesstalent.co.uk,2,28.62,16.45,4.01,22,Eric-Health
masonfinancial.net,2,28.27,16.57,4.04,12,Eric-Health
coaching-business.co.uk,2,25.91,14.74,5.02,2,Eric-Health
competetowin.co.uk,2,25.47,17.51,5.34,3,Eric-Health
conduitconsulting.com,2,24.99,22.1,4.42,6,Eric-Health
fintondoyle.co.uk,2,24.66,18.07,3.92,0,Eric-Health
mallon-lonnquist.com,2,24.25,18.25,5.51,5,Eric-Health
ptpabs.com,2,24.03,16.75,5.23,2,Eric-Health
ukbusinessplanning.co.uk,2,21.05,14.98,3.11,0,Eric-Health
aacc.org,7,78.57,74.13,6.24,15453,Eric-Health
addictionsearch.com,7,75.6,70.48,6.92,95518,Eric-Health
airforcetimes.com,7,77.68,72.87,5.71,6721,Eric-Health
alibris.com,7,83.88,80.23,6.48,27523,Eric-Health
alternet.org,7,90.73,88.47,6.52,304875,Eric-Health
alz.org,7,92.35,91.67,6.89,84431,Eric-Health
annals.org,7,85.78,83.84,6.16,30451,Eric-Health
answers.ask.com,7,83.11,93.9,6.88,622034,Eric-Health
answers.com,7,92.27,90.67,6.68,145001,Eric-Health
archive.gazette.jhu.edu,7,1,91.46,0,0,Eric-Health
armytimes.com,7,80.92,76.75,5.75,20352,Eric-Health
ars.usda.gov,7,90.12,96.9,6.56,20830,Eric-Health
articles.latimes.com,7,85.51,97.14,5.63,1986,Eric-Health
askmen.com,7,88.14,85.39,6.68,399429,Eric-Health
aspca.org,7,91.25,90.53,6.91,135723,Eric-Health
austinchronicle.com,7,83.66,79.99,6.41,121860,Eric-Health
autismspeaks.org,7,89.63,87.13,6.57,73436,Eric-Health
autoblog.com,7,90.2,90.51,6.65,258235,Eric-Health
avg.com,7,91.83,92.67,8.48,70365,Eric-Health
azdhs.gov,7,79.75,75.45,5.81,16998,Eric-Health
azstarnet.com,7,84.95,81.97,5.93,16494,Eric-Health
babble.com,7,87.81,85.07,6.61,117408,Eric-Health
babyzone.com,7,81.63,78.17,6.72,99965,Eric-Health
billmoyers.com,7,78.61,74.32,5.9,21094,Eric-Health
bizjournals.com,7,92.8,95.04,6.61,78051,Eric-Health
bjsm.bmj.com,7,74.5,90.59,5.17,2034,Eric-Health
blackdoctor.org,7,59.38,54.23,6.21,168129,Eric-Health
blogs.findlaw.com,7,56.86,92.8,3.83,134,Eric-Health
blogs.msdn.com,7,90.3,92.2,6.62,20818,Eric-Health
blogs.nfl.com,7,73.85,92.95,6.4,6967,Eric-Health
blogs.plos.org,7,83.69,88,6.33,37712,Eric-Health
blogs.scientificamerican.com,7,87.05,94.09,5.9,11683,Eric-Health
blogs.wsj.com,7,89.43,98.16,6.13,22893,Eric-Health
bluehost.com,7,93.75,92.79,7.45,673878,Eric-Health
bodyandsoul.com.au,7,65.4,58.47,5.5,33256,Eric-Health
bookdepository.co.uk,7,85.48,82.13,7.13,902154,Eric-Health
books.google.de,7,83.87,96.53,5.95,40988,Eric-Health
boston.cbslocal.com,7,85.84,89.88,6.05,12152,Eric-Health
boston.com,7,93.35,94.81,6.86,86392,Eric-Health
breast-cancer-research.com,7,67.62,60.89,5.53,1499,Eric-Health
businesswire.com,7,93.18,91.66,6.67,216926,Eric-Health
byu.edu,7,85.8,84.38,6.35,49862,Eric-Health
ca.answers.yahoo.com,7,67.62,100,5.3,530,Eric-Health
cafepress.com,7,93.73,93.98,7.05,113502,Eric-Health
calgaryherald.com,7,86.34,84.86,6.28,223747,Eric-Health
canada.com,7,90.59,90.49,6.35,128233,Eric-Health
ccforum.com,7,66.01,58.98,5.53,1248,Eric-Health
childrensnational.org,7,74.55,69.28,6.38,4639,Eric-Health
chron.com,7,92.01,90.25,6.41,112416,Eric-Health
city-data.com,7,90.59,88.27,6.25,51463,Eric-Health
citysearch.com,7,91.77,90.11,6.98,873972,Eric-Health
cleveland.com,7,89.24,88.47,6.32,21744,Eric-Health
cnbc.com,7,93.22,92.39,6.95,216481,Eric-Health
collegenet.com,7,80.01,76.63,5.98,8313,Eric-Health
consumerist.com,7,88.63,86.33,6.57,173149,Eric-Health
content.healthaffairs.org,7,74.49,78.55,4.8,609,Eric-Health
corel.com,7,92.25,92.97,6.93,232534,Eric-Health
ctvnews.ca,7,88.06,85.64,6.63,89129,Eric-Health
dailyfinance.com,7,91.1,90.47,6.67,238717,Eric-Health
dailykos.com,7,91.5,89.32,6.54,687111,Eric-Health
dana.org,7,59.07,75.28,5.23,206,Eric-Health
